Title,predicted_genre
 Edgar's Lunch (1998) , thriller 
 La guerra de papá (1977) , drama 
 Off the Beaten Track (2010) , documentary 
 Meu Amigo Hindu (2015) , drama 
 Er nu zhai (1955) , drama 
 Riddle Room (2016) , thriller 
 L'amica (1969) , drama 
 Ina Mina Dika (1989) , comedy 
 Equinox Special: Britain's Tornados (2005) , documentary 
 Press (2011) , short 
 The Firm Man (1975) , thriller 
 Out of Here (2013/I) , drama 
 Tip 2 (1990) , drama 
 Hero of the Day (2012) , drama 
 Das letzte Mal (2000) , short 
 The Man in Every Shot (2010) , documentary 
 The Kettles on Old MacDonald's Farm (1957) , comedy 
 The Patriot (1916) , western 
" ""The Rogue Legends Series"" (2017) ", documentary 
 A Case of Mistaken Identity? (2008) , documentary 
 Dinner for Three (2016) , short 
 Crack Baby (????) , documentary 
 Paper Marilyn (1994) , documentary 
 A Tribute to Rick Nelson (1986) , music 
 The Silent Rice Fields of Bakan (2016) , documentary 
 Otetz Ivan i negovite detza (2010) , documentary 
 What's Left (2018) , comedy 
 The Tunnel (????/II) , drama 
 EWR Revolution 2.0 (2005) , sport 
 Welcome to Welloak (????) , horror 
 Pioneers of the West (1927) , western 
 The Message of Hope (1923) , drama 
 Jose Jiminez Discovers America (1968) , documentary 
 Mafia Heaven (????) , comedy 
 In Our Lifetime (2017) , drama 
 By Their Own Hand: Police Suicides (1991) , drama 
 Snow (2017/II) , drama 
 Love Inn Exile (2000) , adult 
" ""Voyna na zapadnom napravlenii"" (1990) ", drama 
 Les Fripiat (1987) , drama 
 Hyaku iro megane (2003) , short 
" ""Bride vs. Bride"" (2006) ", family 
 Breakfast Klub the DocKumentary (2005) , documentary 
 The Bridges That Built London (2012) , documentary 
 Shelter Me: Partners for Life (2015) , family 
 Da Vinci Code Decoded (2004) , documentary 
" ""El Acabose"" (2017) ", short 
" ""Priceless"" (2012) ", comedy 
 Jump In: The Movie (2013) , drama 
 The Lazy Desperation (2006) , documentary 
 Jasper| Texas (2003) , documentary 
 Perfect Pie (2002) , drama 
 Partners in Time (1946) , comedy 
 Manje' (2007) , drama 
" ""Caught"" (2002) ", documentary 
 Manhole Children (2009) , documentary 
 Brian (????) , drama 
 Sin of Lust (1976) , adult 
 The Saphead (1920) , comedy 
 Philanthropy Inc (2009) , documentary 
 Challenging Heaven (2014) , drama 
 Rosetta (1999) , drama 
 Karussell (2016) , comedy 
 Bez strakha (1971) , drama 
 S lyubov i nezhnost (1978) , drama 
" ""Of Many Things"" (1953) ", talk-show 
 Barney: All About Opposites (2012) , family 
 Barely Dead: The Saga of Modern Rollerblading (2008) , documentary 
 Something About Ryan (2009) , comedy 
 Tim Minchin: So Live (2007) , comedy 
 Onward & Upward (2018) , documentary 
 Challenger (1990) , documentary 
 Mini-Skirt Love (1967) , drama 
 Blue Car (2002) , drama 
 Kosztolányi Dezsö novellái: Lidike (????) , comedy 
 Mexique mort ou vif (1996) , documentary 
